CODE,SEMESTER,TITLE,LANGUAGE,TITLE_FR,TITLE_EN,RESUME_FR,RESUME_EN,PROFESSORS,CREDITS,LECTURE_PERIOD,EXERCICE_PERIOD,PROJECT_PERIOD,TP_PERIOD,LABO_PERIOD,EXAM_INFO,KEYWORDS,POLYPERSPECTIVES
HUM-218,BA3,Psychologie sociale A,FR,Psychologie sociale A,Social psychology A,"Le cours aborde l'influence sociale qui s'exerce dans et entre les groupes. Les groupes jouent un rôle fondamental nos vies de tous les jours; ce cours fournit une compréhension du fonctionnement des groupes, des relations entre groupes et de l'impact des groupes sur le comportement de l'individu.","This course is about social influence within and between groups. Groups play a crucial role in everyday life; this course provides the tools to understand groups processes, intergroup relations, and how groups affect individual behaviour. ",281319:Caroline:Pulfrey,2,2,,,,,,GROUPE|DYNAMIQUE|RELATIONS|NON-VERBAL|CONFLIT,Globale|Citoyenne
HUM-220,BA3,Travail et organisations,FR,Travail et organisations,Work and organizations,"Comment travailler ensemble dans une start-up, un bureau d'étude ou une équipe restreinte ? Nous aborderons la question de l'organisation et des interactions au travail à travers des études de cas.","How to work together in a start-up, or a small team ? We will deal with questions of organisation and interactions at work, referring to case studies.",196779:Marc:Perrenoud,2,2,,,,,,,Interdisciplinaire|Citoyenne
HUM-221(a),BA3,Histoire des énergies et des transports A,FR,Histoire des énergies et des transports A,History of energies and transport A,"Ce cours-atelier traite de l'évolution des technologies de l'énergie en Suisse aux 19e et 20e siècles. Grâce à l'analyse interactive de documents d'époque (sources), l'étudiant.e prend conscience des relations entre le technique et le social et analyse les enjeux passés et présents qui y sont liés.","This seminar-course deals with the development of energy-related technologies in Switzerland in the 19th and 20th centuries. Thanks to the interactive analysis of period documents (sources), the student develops an awareness of the relationship between the technological and the social.",167290:Cédric:Humair,2,2,,,,,,ÉCONOMIE|ENERGY|ENERGY POLICY|HISTOIRE|INNOVATION|TECHNOLOGIE|TRANSPORT,Interdisciplinaire|Citoyenne
HUM-233,BA3,Histoire et théorie du cinéma,FR,Histoire et théorie du cinéma,Film history and theory ,MASCULINITY AND TECHNOLOGY IN AMERICAN CINEMA (1968-2014): This course aims to introduce to the study of gendered identities through the analysis of the relationship between masculinity and technology in contemporary American cinema.,MASCULINITE ET TECHNOLOGIE DANS LE CINEMA AMERICAIN (1968-2014): Ce cours vise à introduire à l'étude des identités de genre (gender) à travers l'analyse des relations entre masculinité et technologie dans le cinéma américain contemporain. ,251598:Charles-Antoine:Courcoux,2,2,,,,,,20TH CENTURY|CINÉMA|FÉMINISME|FILM|GENDER|TECHNOLOGY,Interdisciplinaire|Citoyenne
HUM-241,BA3,Science et littérature A,FR,Science et littérature A,Science and literature A,"L'objectif du cours est de saisir les compétences requises pour analyser le jeu vidéo ainsi que ses spécificités propres ; analyser une pratique et des usages, en somme.
De plus, le cours cherche à mieux comprendre les questions d'immersion fictionnelle et de codes ludiques.","The objectives of the course is to understand the skills required for analysing video games and their own particularities. Moreover, the course aims to better understand the fictional immersion and the ludic codes issues.",114106:Marc:Atallah,2,2,,,,,,CODE|CULTURE|ESTHÉTIQUE|FICTION|MÉDIA|VIDEO GAME,Interdisciplinaire|Créative
HUM-242,BA3,Musicologie et histoire de la musique A,FR,Musicologie et histoire de la musique A,Musicology and history of music A,"Retracer l'histoire de la pratique de l'improvisation dans la musique savante de la Renaissance à nos jours. Analyser les différents contextes, styles, genres musicaux dans lesquels l'improvisation prend une place importante. Connaître quelques œuvres majeures du répertoire classique.","Recount the historical practices of improvisation from early music of the Renaissance to present modern day. Understand and analyze the various contexts, styles, musical genres in which improvisation is at the forefront. Know some of the major works from the classical repertory and the treatises.",251223:Constance:Frei,2,2,,,,,,HISTOIRE|IMPROVISATION|MUSIQUE SAVANTE|MUSIQUE VOCALE|NOTATION MUSICALE|THÉORIE MUSICALE,Globale|Créative
HUM-245(a),BA3,Economie et innovation,FR,Economie et innovation,Economy and innovation,"This course is about innovation: conditions, procedures and impact of innovation. Our approach is integrative; we will deal with business, social and common innovation; the role of innovation to address great challenges and the notion of disruptive innovation.","Ce cours porte sur l'innovation: les conditions, procédures et impact de l'innovation. L'approche est intégrative: on parlera des innovations commerciales, sociales et communes, l'importance de l'innovation dans certains grands domaines ainsi que des innovations disruptives.",141288:Dominique:Foray,2,2,,,,,,INNOVATION|MICRO-ÉCONOMIE|INSTITUTION|RICHESSE DES NATIONS|,Globale|Créative
HUM-247,BA3,Iran contemporain,FR,Iran contemporain,Contemporary Iran,"Ce cours offre des clés historiques, politiques et culturelles pour comprendre cette puissance régionale du Moyen-Orient et saisir les enjeux géopolitiques d'une normalisation des relations Occident-Iran.","This course is an introduction to contemporary Iran. It emphasizes on the three dimensions of Iranian identity: nationalism (Iranian culture), Shi'ism, Western influence.",270419:Patrick Alain:Ringgenberg,2,2,,,,,,IRAN|CULTURE PERSANE|CHIISME|MOYEN-ORIENT|GÉOPOLITIQUE|ORIENTALISME,Interdisciplinaire|Globale
HUM-248(a),BA3,Histoire des relations internationales,FR,Histoire des relations internationales,History of international relations,"Ce cours examinera les racines historiques des mouvements qui s'inspirent de l'Islam politique. Il abordera les facteurs historiques, socio-économiques et politiques qui expliquent les origines et développements de ces mouvements depuis le milieu du 19ème siècle jusqu'à aujourd'hui.","This course will examine the historical roots of Islamic political movements. This approach will study the historical, socio-economic and political factors explaining the origins and developments of these movements since the mid 19th century until today",289054:Joseph:Daher,2,2,,,,,,ISLAM POLITIQUE|MOUVEMENTS POLITIQUES|DJIHADISME INTERNATIONAL|MOYEN-ORIENT|AFRIQUE DU NORD,Globale|Citoyenne
HUM-256,BA3,"Cerveau, esprit et société",FR,"Cerveau, esprit et société","Brain, mind and society","This course aims to address topics related to research on brain causes of human actions. The course will introduce to fundamental concepts in psychology, cognitive and social neurosciences and the links between brain and mental illness.","Ce cours aborde les sujets relatifs aux recherches sur les bases cérébrales des actions humaines, en revenant notamment sur l'histoire du cerveau, les changements actuels liés au développement des neurosciences, ainsi que les liens entre cerveau et maladie mentale. ",185819:Delphine:Preissmann,2,2,,,,,,BRAIN|PSYCHOLOGIE,Interdisciplinaire|Citoyenne
HUM-265,BA3,Anthropologie de l'Asie orientale,FR,Anthropologie de l'Asie orientale,Anthropology of east Asia,Cet enseignement aborde les notions et thèmes relatifs aux cultures et sociétés des mondes chinois ainsi que de ses aires voisines (la Corée et le Japon) et discute de leurs enjeux actuels dans une perspective historique et comparative.,"The course addresses key notions and themes related to cultures and societies in China and its neighbouring areas (Korea and Japan), and discusses their current issues in a historic and comparative perspective.",196358:Florence:Graezer Bideau,2,2,,,,,,ANTHROPOLOGIE|ASIE ORIENTALE|SOCIÉTÉ|CULTURE|DIVERSITÉ,Globale|Citoyenne
HUM-318,BA3,"Sciences, raison et foi I",FR,"Sciences, raison et foi I","Science, reason and faith I",The issue of both the origins and the end of mankind and the universe was simultaneously asked by religions and major myths as well as Western science starting in the XVIIth century.,"La question de l'origine comme celle de la fin de l'homme et de l'univers a été simultanément posée dans les religions et les grands mythes, mais aussi dans les sciences occidentales à partir du 17e siècle. Thèmes qui sont au coeur de l'idée d'un possible &quot;dialogue&quot; entre sciences et religions.",229643:Jean-François:Bert,2,2,,,,,,COPERNIC|DARWIN|GALILÉE|PHYSIQUE|CRÉATIONNISME|ÉVOLUTIONNISME,Interdisciplinaire|Globale
HUM-355,BA3,Coopération et développement,FR-EN,Coopération et développement,Cooperation and development,"This course will examine the main challenges faced by countries in the Global South. Students will work in interdisciplinary groups on real-world case studies provided by Medair, Swiss Red Cross etc. aiming at poverty reduction and sustainable development through innovative technologies.","Ce cours abordera les défis majeurs du développement durable auxquels font face les pays du Sud. Les étudiants-es travailleront en groupes interdisciplinaires sur des projets réels (p.ex. Medair, Swiss Red Cross etc.) visant le développement durable à travers l'innovation technologique",118273:Silvia:Hostettler,2,2,,,,,,DEVELOPMENT|INNOVATION|PAYS EN VOIE DE DÉVELOPPEMENT|SUSTAINABLE DEVELOPMENT|TECHNOLOGY,Interdisciplinaire|Globale
HUM-217,BA4,Musicologie et histoire de la musique B,FR,Musicologie et histoire de la musique B,Musicology and history of music B,"Recount the history of musical styles practised in the 20th century. Understand and analyze the various contexts, musical languages and the currents of ideas. Know some of the major works of the classical repertory of the 20th century as well as the main writings : theoretical and educational.","Retracer l'histoire des genres et des styles musicaux pratiqués au 20e siècle. Comprendre et analyser les différents langages et courants d'idées. Connaître les œuvres majeures du répertoire classique du 20e siècle ainsi que les principaux textes, ouvrages théoriques et pédagogiques.",251223:Constance:Frei,2,2,,,,,,20E SIÈCLE|ANALYSE MUSICALE|ATONALITÉ|INSTRUMENTS DE MUSIQUE|MUSIQUE CONTEMPORAINE|MUSIQUE SAVANTE|THÉORIE MUSICALE,Globale|Créative
HUM-224,BA4,Design graphique II,FR,Design graphique II,Graphic design II,"Le cours vise à faire découvrir les bases du design graphique, ses enjeux, ses différents domaines d'application, ses techniques et ses conventions. Il s'agit d'un enseignement pratique qui repose sur le développement d'un projet de semestre.","The course offers a practical teaching that allows to acquire the bases of graphic design and to understand the stakes, the various fields of application, the techniques and the conventions of that discipline.",229955:Gaël:Faure|252418:Denis:Rouèche,2,2,,,,,,GRAPHIC DESIGN|ILLUSTRATION|POSTER|TYPOGRAPHIE,Créative|Interdisciplinaire
HUM-225,BA4,Design industriel II,FR,Design industriel II,Industrial design II,The course consists in practical teaching that allows acquiring the bases of industrial design by confronting the students with the creation of an object.,Le cours propose d'expérimenter les spécificités du design industriel en confrontant les étudiant.e.s à la création d'un objet. Il s'agit d'un enseignement pratique qui repose sur le développement d'un projet de semestre.,184338:Tomás:Král,2,2,,,,,,CRÉATION|CRÉATIVITÉ|DESIGN INDUSTRIEL|ERGONOMIE|ESTHÉTIQUE|FONCTIONNALITÉ|MAQUETTE|PROTOTYPE,Créative|Interdisciplinaire
HUM-226,BA4,Développement durable A,FR,Développement durable A,Sustainable development A,"L'objectif de ce cours est de donner une compréhension globale des enjeux de la durabilité et de ses implications. Si nous voulons transitionner vers un système qui respecte les limites de la planète, quelles &quot;innovations&quot; économiques, sociales et culturelles devons-nous introduire?","The objective of this course is to offer a global understanding of sustainability and its implications. If we want to transition towards a system that respects  planetary boundaries, what economic, social, and cultural &quot;innovations&quot; do we need to introduce?",254372:Christian:Arnsperger,2,2,,,,,,DÉVELOPPEMENT DURABLE|LIMITES PLANÉTAIRES|DURABILITÉ|CROISSANCE|DÉCROISSANCE,Citoyenne|Créative
HUM-228,BA4,Études musicales B,FR,Études musicales B,Musical studies B,Ce cursus particulier - dont l'admission est sujette à l'acceptation d'un dossier de candidature - offre à l'étudiant engagé dans des études en musique de haut niveau en parallèle à ses études EPFL la possibilité de les faire reconnaître partiellement.,"This specific option, subject to application, opens to a student pursuing the study of a music instrument at a high level next to his/her EPFL studies the possibiity of a partial validation.",176744:Néjia:Dahmouni Martin,2,2,,,,,,,
HUM-229,BA4,"Science, technologie et société B",FR,"Science, technologie et société B","Science, technology and society B",This course aims at exploring the social and cultural dimensions of scientific work or engineering. Contributing to wikipedia articles on engineering on technologies or engineering from a STS (science and technology studies) or engineering studies point of view. ,"Ce cours propose une exploration des dimensions sociales et culturelles des sciences et ingénieries en action, avec une contribution aux articles wikipedia sur des thématiques touchant aux techniques et à l'ingénierie d'un point de vue STS (science and technology studies) ou Engineering studies.",292598:Alexandre:Camus,2,2,,,,,,SCIENCES|SOCIÉTÉ|TECHNOLOGIE,Interdisciplinaire|Globale
HUM-230,BA4,Le genre et ses représentations,FR,Le genre et ses représentations,Gender and representation,"Ce cours vise à illustrer les ressources de la littérature, de l'écriture et des représentations symboliques pour faire bouger les lignes de partage en fonction desquelles le genre a été défini et intériorisé de manière binaire et hiérarchisée depuis 1789.",The aim of this class is to consider the possibilities of literature and symbolic representations in general as they have been used to question the binary and hierarchical definition of gender such as internalized since 1789.,312283:Boris:Vejdovsky,2,2,,,,,,18E SIÈCLE|20E SIÈCLE|ÉTUDE DE GENRE|FÉMINISME|GENRE|HUMANITÉ|LITTÉRATURE|REPRESENTATION,Citoyenne|Interdisciplinaire
HUM-234,BA4,Droit des affaires,FR,Droit des affaires,Business law,"Ce cours cherche à donner, en matière économique, les outils juridiques aux fins d'analyser une situation de fait et de déterminer les règles légales applicables.",This course provides legal tools for the analysis of concrete economic situations and the identification of relevant rules from a business perspective.,196400:Anouk:Neuenschwander,2,2,,,,,,ÉCONOMIE|NORMES|SUISSE,Globale|Citoyenne
HUM-237,BA4,Méditerranée: grands textes et mythes fondateurs B,FR,Méditerranée: grands textes et mythes fondateurs B,Mediterranean myths and founding texts B,"The course explores the myths and main texts of ancient cultures (Biblical World, Greece, Rome, Egypt). Exploring their meanings, their receptions helps us to better understand the heterogeneous nature of our own culture.
","Le cours explore les mythes et les textes fondateurs des cultures antiques (Monde biblique, Grèce, Rome, Egypte). Explorant leurs significations, leurs réceptions, il s'agit de dérouler une histoire de l'imaginaire qui nous aide à mieux comprendre le caractère hétéroclite de notre propre culture. ",188747:David:Bouvier|245404:Matteo:Capponi|287549:Christophe:Nihan|198529:Youri Alexandre:Volokhine,2,2,,,,,,ANTHROPOLOGIE|ANTIQUITÉ|EGYPT|GRÈCE|MESOPOTAMIA|MYTHOLOGY|RELIGION|ROME,Globale|Créative
